"Season","Team","Conference","StatName","StatValue"
"2025","Arizona","Big 12","interceptionTDs","2"
"2025","Arizona","Big 12","interceptionTDsOpponent","1"
"2025","Arizona","Big 12","interceptionYards","246"
"2025","Arizona","Big 12","interceptionYardsOpponent","145"
"2025","Arizona","Big 12","kickReturns","10"
"2025","Arizona","Big 12","kickReturnsOpponent","4"
"2025","Arizona","Big 12","kickReturnTDs","0"
"2025","Arizona","Big 12","kickReturnTDsOpponent","0"
"2025","Arizona","Big 12","kickReturnYards","196"
"2025","Arizona","Big 12","kickReturnYardsOpponent","91"
"2025","Arizona","Big 12","netPassingYards","3053"
"2025","Arizona","Big 12","netPassingYardsOpponent","1871"
"2025","Arizona","Big 12","passAttempts","404"
"2025","Arizona","Big 12","passAttemptsOpponent","353"
"2025","Arizona","Big 12","passCompletions","253"
"2025","Arizona","Big 12","passCompletionsOpponent","187"
"2025","Arizona","Big 12","passesIntercepted","19"
"2025","Arizona","Big 12","passesInterceptedOpponent","7"
"2025","Arizona","Big 12","passingTDs","26"
"2025","Arizona","Big 12","passingTDsOpponent","9"
"2025","Arizona","Big 12","penalties","67"
"2025","Arizona","Big 12","penaltiesOpponent","63"
"2025","Arizona","Big 12","penaltyYards","619"
"2025","Arizona","Big 12","penaltyYardsOpponent","616"
"2025","Arizona","Big 12","possessionTime","22151"
"2025","Arizona","Big 12","possessionTimeOpponent","21049"
"2025","Arizona","Big 12","puntReturns","20"
"2025","Arizona","Big 12","puntReturnsOpponent","10"
"2025","Arizona","Big 12","puntReturnTDs","0"
"2025","Arizona","Big 12","puntReturnTDsOpponent","0"
"2025","Arizona","Big 12","puntReturnYards","202"
"2025","Arizona","Big 12","puntReturnYardsOpponent","88"
"2025","Arizona","Big 12","rushingAttempts","424"
"2025","Arizona","Big 12","rushingAttemptsOpponent","439"
"2025","Arizona","Big 12","rushingTDs","20"
"2025","Arizona","Big 12","rushingTDsOpponent","16"
"2025","Arizona","Big 12","rushingYards","1809"
"2025","Arizona","Big 12","rushingYardsOpponent","1752"
"2025","Arizona","Big 12","sacks","21"
"2025","Arizona","Big 12","sacksOpponent","29"
"2025","Arizona","Big 12","tacklesForLoss","78"
"2025","Arizona","Big 12","tacklesForLossOpponent","64"
"2025","Arizona","Big 12","thirdDownConversions","65"
"2025","Arizona","Big 12","thirdDownConversionsOpponent","60"
"2025","Arizona","Big 12","thirdDowns","162"
"2025","Arizona","Big 12","thirdDownsOpponent","175"
"2025","Arizona","Big 12","totalYards","4862"
"2025","Arizona","Big 12","totalYardsOpponent","3623"
"2025","Arizona","Big 12","turnovers","12"
"2025","Arizona","Big 12","turnoversOpponent","28"
"2025","Arizona State","Big 12","firstDowns","252"
"2025","Arizona State","Big 12","firstDownsOpponent","229"
"2025","Arizona State","Big 12","fourthDownConversions","20"
"2025","Arizona State","Big 12","fourthDownConversionsOpponent","16"
"2025","Arizona State","Big 12","fourthDowns","32"
"2025","Arizona State","Big 12","fourthDownsOpponent","32"
"2025","Arizona State","Big 12","fumblesLost","10"
"2025","Arizona State","Big 12","fumblesLostOpponent","7"
"2025","Arizona State","Big 12","fumblesRecovered","7"
"2025","Arizona State","Big 12","fumblesRecoveredOpponent","10"
"2025","Arizona State","Big 12","games","12"
"2025","Arizona State","Big 12","interceptions","8"
"2025","Arizona State","Big 12","interceptionsOpponent","7"
"2025","Arizona State","Big 12","interceptionTDs","0"
"2025","Arizona State","Big 12","interceptionTDsOpponent","0"
"2025","Arizona State","Big 12","interceptionYards","12"
"2025","Arizona State","Big 12","interceptionYardsOpponent","29"
"2025","Arizona State","Big 12","kickReturns","15"
"2025","Arizona State","Big 12","kickReturnsOpponent","24"
"2025","Arizona State","Big 12","kickReturnTDs","0"
"2025","Arizona State","Big 12","kickReturnTDsOpponent","0"
"2025","Arizona State","Big 12","kickReturnYards","251"
"2025","Arizona State","Big 12","kickReturnYardsOpponent","468"
"2025","Arizona State","Big 12","netPassingYards","2533"
"2025","Arizona State","Big 12","netPassingYardsOpponent","2708"
"2025","Arizona State","Big 12","passAttempts","392"
"2025","Arizona State","Big 12","passAttemptsOpponent","408"
"2025","Arizona State","Big 12","passCompletions","224"
"2025","Arizona State","Big 12","passCompletionsOpponent","248"
"2025","Arizona State","Big 12","passesIntercepted","7"
"2025","Arizona State","Big 12","passesInterceptedOpponent","8"
"2025","Arizona State","Big 12","passingTDs","17"
"2025","Arizona State","Big 12","passingTDsOpponent","16"
"2025","Arizona State","Big 12","penalties","90"
"2025","Arizona State","Big 12","penaltiesOpponent","67"
"2025","Arizona State","Big 12","penaltyYards","718"
"2025","Arizona State","Big 12","penaltyYardsOpponent","641"
"2025","Arizona State","Big 12","possessionTime","23018"
"2025","Arizona State","Big 12","possessionTimeOpponent","20182"
"2025","Arizona State","Big 12","puntReturns","14"
"2025","Arizona State","Big 12","puntReturnsOpponent","17"
"2025","Arizona State","Big 12","puntReturnTDs","0"
"2025","Arizona State","Big 12","puntReturnTDsOpponent","0"
"2025","Arizona State","Big 12","puntReturnYards","132"
"2025","Arizona State","Big 12","puntReturnYardsOpponent","252"
"2025","Arizona State","Big 12","rushingAttempts","457"
"2025","Arizona State","Big 12","rushingAttemptsOpponent","408"
"2025","Arizona State","Big 12","rushingTDs","16"
"2025","Arizona State","Big 12","rushingTDsOpponent","18"
"2025","Arizona State","Big 12","rushingYards","2264"
"2025","Arizona State","Big 12","rushingYardsOpponent","1405"
"2025","Arizona State","Big 12","sacks","32"
"2025","Arizona State","Big 12","sacksOpponent","27"
"2025","Arizona State","Big 12","tacklesForLoss","81"
"2025","Arizona State","Big 12","tacklesForLossOpponent","68"
"2025","Arizona State","Big 12","thirdDownConversions","58"
"2025","Arizona State","Big 12","thirdDownConversionsOpponent","63"
"2025","Arizona State","Big 12","thirdDowns","177"
"2025","Arizona State","Big 12","thirdDownsOpponent","175"
"2025","Arizona State","Big 12","totalYards","4797"
"2025","Arizona State","Big 12","totalYardsOpponent","4113"
"2025","Arizona State","Big 12","turnovers","18"
"2025","Arizona State","Big 12","turnoversOpponent","14"
"2025","Arkansas","SEC","firstDowns","279"
"2025","Arkansas","SEC","firstDownsOpponent","285"
"2025","Arkansas","SEC","fourthDownConversions","9"
"2025","Arkansas","SEC","fourthDownConversionsOpponent","11"
"2025","Arkansas","SEC","fourthDowns","17"
"2025","Arkansas","SEC","fourthDownsOpponent","16"
"2025","Arkansas","SEC","fumblesLost","9"
"2025","Arkansas","SEC","fumblesLostOpponent","3"
"2025","Arkansas","SEC","fumblesRecovered","3"
"2025","Arkansas","SEC","fumblesRecoveredOpponent","9"
"2025","Arkansas","SEC","games","12"
"2025","Arkansas","SEC","interceptions","11"
"2025","Arkansas","SEC","interceptionsOpponent","6"
"2025","Arkansas","SEC","interceptionTDs","1"
"2025","Arkansas","SEC","interceptionTDsOpponent","1"
"2025","Arkansas","SEC","interceptionYards","160"
"2025","Arkansas","SEC","interceptionYardsOpponent","111"
"2025","Arkansas","SEC","kickReturns","12"
"2025","Arkansas","SEC","kickReturnsOpponent","14"
"2025","Arkansas","SEC","kickReturnTDs","0"
"2025","Arkansas","SEC","kickReturnTDsOpponent","1"
"2025","Arkansas","SEC","kickReturnYards","269"
"2025","Arkansas","SEC","kickReturnYardsOpponent","350"
"2025","Arkansas","SEC","netPassingYards","3155"
"2025","Arkansas","SEC","netPassingYardsOpponent","2871"
"2025","Arkansas","SEC","passAttempts","381"
"2025","Arkansas","SEC","passAttemptsOpponent","339"
"2025","Arkansas","SEC","passCompletions","231"
"2025","Arkansas","SEC","passCompletionsOpponent","213"
"2025","Arkansas","SEC","passesIntercepted","6"
"2025","Arkansas","SEC","passesInterceptedOpponent","11"
"2025","Arkansas","SEC","passingTDs","22"
"2025","Arkansas","SEC","passingTDsOpponent","22"
"2025","Arkansas","SEC","penalties","93"
"2025","Arkansas","SEC","penaltiesOpponent","73"
"2025","Arkansas","SEC","penaltyYards","804"
"2025","Arkansas","SEC","penaltyYardsOpponent","607"
"2025","Arkansas","SEC","possessionTime","20898"
"2025","Arkansas","SEC","possessionTimeOpponent","22302"
"2025","Arkansas","SEC","puntReturns","19"
"2025","Arkansas","SEC","puntReturnsOpponent","7"
"2025","Arkansas","SEC","puntReturnTDs","1"
"2025","Arkansas","SEC","puntReturnTDsOpponent","1"
"2025","Arkansas","SEC","puntReturnYards","138"
"2025","Arkansas","SEC","puntReturnYardsOpponent","105"
"2025","Arkansas","SEC","rushingAttempts","403"
"2025","Arkansas","SEC","rushingAttemptsOpponent","471"
"2025","Arkansas","SEC","rushingTDs","25"
"2025","Arkansas","SEC","rushingTDsOpponent","24"
"2025","Arkansas","SEC","rushingYards","2306"
"2025","Arkansas","SEC","rushingYardsOpponent","2246"
"2025","Arkansas","SEC","sacks","22"
"2025","Arkansas","SEC","sacksOpponent","29"
"2025","Arkansas","SEC","tacklesForLoss","65"
"2025","Arkansas","SEC","tacklesForLossOpponent","62"
"2025","Arkansas","SEC","thirdDownConversions","67"
"2025","Arkansas","SEC","thirdDownConversionsOpponent","67"
"2025","Arkansas","SEC","thirdDowns","142"
"2025","Arkansas","SEC","thirdDownsOpponent","151"
"2025","Arkansas","SEC","totalYards","5461"
"2025","Arkansas","SEC","totalYardsOpponent","5117"
"2025","Arkansas","SEC","turnovers","20"
"2025","Arkansas","SEC","turnoversOpponent","9"
"2025","Arkansas State","Sun Belt","firstDowns","272"
"2025","Arkansas State","Sun Belt","firstDownsOpponent","248"
"2025","Arkansas State","Sun Belt","fourthDownConversions","15"
"2025","Arkansas State","Sun Belt","fourthDownConversionsOpponent","8"
"2025","Arkansas State","Sun Belt","fourthDowns","25"
"2025","Arkansas State","Sun Belt","fourthDownsOpponent","15"
"2025","Arkansas State","Sun Belt","fumblesLost","11"
"2025","Arkansas State","Sun Belt","fumblesLostOpponent","7"
"2025","Arkansas State","Sun Belt","fumblesRecovered","8"
"2025","Arkansas State","Sun Belt","fumblesRecoveredOpponent","11"
"2025","Arkansas State","Sun Belt","games","12"
"2025","Arkansas State","Sun Belt","interceptions","12"
"2025","Arkansas State","Sun Belt","interceptionsOpponent","7"
"2025","Arkansas State","Sun Belt","interceptionTDs","1"
"2025","Arkansas State","Sun Belt","interceptionTDsOpponent","0"
"2025","Arkansas State","Sun Belt","interceptionYards","71"
"2025","Arkansas State","Sun Belt","interceptionYardsOpponent","105"
"2025","Arkansas State","Sun Belt","kickReturns","30"
"2025","Arkansas State","Sun Belt","kickReturnsOpponent","21"
"2025","Arkansas State","Sun Belt","kickReturnTDs","2"
"2025","Arkansas State","Sun Belt","kickReturnTDsOpponent","0"
"2025","Arkansas State","Sun Belt","kickReturnYards","705"
"2025","Arkansas State","Sun Belt","kickReturnYardsOpponent","395"
"2025","Arkansas State","Sun Belt","netPassingYards","3089"
"2025","Arkansas State","Sun Belt","netPassingYardsOpponent","2827"
"2025","Arkansas State","Sun Belt","passAttempts","477"
"2025","Arkansas State","Sun Belt","passAttemptsOpponent","356"
"2025","Arkansas State","Sun Belt","passCompletions","317"
"2025","Arkansas State","Sun Belt","passCompletionsOpponent","242"
"2025","Arkansas State","Sun Belt","passesIntercepted","7"
"2025","Arkansas State","Sun Belt","passesInterceptedOpponent","12"
"2025","Arkansas State","Sun Belt","passingTDs","17"
"2025","Arkansas State","Sun Belt","passingTDsOpponent","17"
"2025","Arkansas State","Sun Belt","penalties","72"
"2025","Arkansas State","Sun Belt","penaltiesOpponent","103"
"2025","Arkansas State","Sun Belt","penaltyYards","642"
"2025","Arkansas State","Sun Belt","penaltyYardsOpponent","899"
"2025","Arkansas State","Sun Belt","possessionTime","21776"
"2025","Arkansas State","Sun Belt","possessionTimeOpponent","21424"
"2025","Arkansas State","Sun Belt","puntReturns","22"
"2025","Arkansas State","Sun Belt","puntReturnsOpponent","9"
"2025","Arkansas State","Sun Belt","puntReturnTDs","0"
"2025","Arkansas State","Sun Belt","puntReturnTDsOpponent","0"
"2025","Arkansas State","Sun Belt","puntReturnYards","131"
"2025","Arkansas State","Sun Belt","puntReturnYardsOpponent","66"
"2025","Arkansas State","Sun Belt","rushingAttempts","423"
"2025","Arkansas State","Sun Belt","rushingAttemptsOpponent","455"
"2025","Arkansas State","Sun Belt","rushingTDs","13"
"2025","Arkansas State","Sun Belt","rushingTDsOpponent","24"
"2025","Arkansas State","Sun Belt","rushingYards","1535"
"2025","Arkansas State","Sun Belt","rushingYardsOpponent","2186"
"2025","Arkansas State","Sun Belt","sacks","31"
"2025","Arkansas State","Sun Belt","sacksOpponent","26"
"2025","Arkansas State","Sun Belt","tacklesForLoss","67"
"2025","Arkansas State","Sun Belt","tacklesForLossOpponent","75"
"2025","Arkansas State","Sun Belt","thirdDownConversions","75"
"2025","Arkansas State","Sun Belt","thirdDownConversionsOpponent","67"
"2025","Arkansas State","Sun Belt","thirdDowns","185"
"2025","Arkansas State","Sun Belt","thirdDownsOpponent","165"
"2025","Arkansas State","Sun Belt","totalYards","4624"
"2025","Arkansas State","Sun Belt","totalYardsOpponent","5013"
"2025","Arkansas State","Sun Belt","turnovers","23"
"2025","Arkansas State","Sun Belt","turnoversOpponent","14"
"2025","Army","American Athletic","firstDowns","221"
"2025","Army","American Athletic","firstDownsOpponent","228"
"2025","Army","American Athletic","fourthDownConversions","37"
"2025","Army","American Athletic","fourthDownConversionsOpponent","19"
"2025","Army","American Athletic","fourthDowns","53"
"2025","Army","American Athletic","fourthDownsOpponent","33"
"2025","Army","American Athletic","fumblesLost","5"
"2025","Army","American Athletic","fumblesLostOpponent","8"
"2025","Army","American Athletic","fumblesRecovered","8"
"2025","Army","American Athletic","fumblesRecoveredOpponent","5"
"2025","Army","American Athletic","games","12"
"2025","Army","American Athletic","interceptions","5"
"2025","Army","American Athletic","interceptionsOpponent","8"
"2025","Army","American Athletic","interceptionTDs","1"
